N	53.3464	-6.29461	D225	31 Jan 2026	D225\nDublin Heuston to Portlaoise\nExpected Departure 22:10	To Portlaoise
R	53.1454	-7.06361	D224	31 Jan 2026	D224\n21:05 - Dublin Heuston to Portlaoise (2 mins late)\nDeparted Monasterevin next stop Portarlington	To Portlaoise
R	53.3704	-6.50598	D931	31 Jan 2026	D931\n21:20 - Dublin Connolly to Maynooth (6 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
T	53.4349	-6.46898	D345	31 Jan 2026	D345\n21:48 - Clonsilla to M3 Parkway(2 mins late)\nTERMINATED M3 Parkway at 22:02	Northbound
